Date,Queries
2016-02-15,11469839
2016-02-16,11040797
2016-02-17,10885620
2016-02-18,10768552
2016-02-19,10406564
2016-02-20,9722782
2016-02-21,10306717
2016-02-22,11290548
2016-02-23,11133853
2016-02-24,11003361
2016-02-25,10607145
2016-02-26,10379742
2016-02-27,9672743
2016-02-28,10335023
2016-02-29,11371140
2011-01-01,66042
2011-01-02,75625
2011-01-03,153562
2011-01-04,208933
2011-01-05,176519
2011-01-06,169744
2011-01-07,161150
2011-01-08,129158
2011-01-09,135383
2011-01-10,167511
2011-01-11,171773
2011-01-12,165810
2011-01-13,171842
2011-01-14,178367
2011-01-15,132088
2011-01-16,161775
2011-01-17,172978
2011-01-18,170900
2011-01-19,169843
2011-01-20,218556
2011-01-21,203449
2011-01-22,154372
2011-01-23,166273
2011-01-24,200439
2011-01-25,203123
2011-01-26,208661
2011-01-27,211163
2011-01-29,163380
2011-01-30,198391
2011-01-31,241955
2012-01-01,393933
2012-01-02,496078
2012-01-03,538194
2012-01-04,525008
2012-01-05,520193
2012-01-06,498824
2012-01-07,447346
2012-01-08,470358
2012-01-09,552904
2012-01-10,550117
2012-01-11,551280
2012-01-12,571546
2012-01-13,667419
2012-01-14,525228
2012-01-15,517356
2012-01-16,640067
2012-01-17,644993
2012-01-18,638165
2012-01-19,613012
2012-01-20,598611
2012-01-21,551683
2012-01-22,585005
2012-01-23,719053
2012-01-24,731472
2012-01-25,848468
2012-01-26,799438
2012-01-27,765822
2012-01-28,828619
2012-01-29,837445
2012-01-30,982994
2012-01-31,933069
2013-01-01,1349922
2013-01-02,1677267
2013-01-03,1759653
2013-01-04,1630646
2013-01-05,1456655
2013-01-06,1489781
2013-01-07,1732448
2013-01-08,1796661
2013-01-09,1717858
2013-01-10,1675736
2013-01-11,1578781
2013-01-12,1434121
2013-01-13,1501812
2013-01-14,1744871
2013-01-15,1790400
2013-01-16,1763992
2013-01-17,1656899
2013-01-18,1595795
2013-01-19,1465960
2013-01-20,1581750
2013-01-21,1802595
2013-01-22,1769316
2013-01-23,1681949
2013-01-24,1653845
2013-01-25,1592842
2013-01-26,1472936
2013-01-27,1546880
2013-01-28,1749556
2013-01-29,1748833
2013-01-30,1723526
2013-01-31,1660617
2014-01-01,3736154
2014-01-02,4294866
2014-01-03,4194624
2014-01-04,3974276
2014-01-05,4032966
2014-01-06,4191198
2014-01-07,4452957
2014-01-08,4290939
2014-01-09,4486289
2014-01-10,4282410
2014-01-11,3987027
2014-01-12,4033790
2014-01-13,4631435
2014-01-14,4633550
2014-01-15,4612408
2014-01-16,4548253
2014-01-17,4403713
2014-01-18,4163192
2014-01-19,4318389
2014-01-20,4642310
2014-01-21,4684140
2014-01-22,4586657
2014-01-23,4501419
2014-01-24,4440349
2014-01-25,4144647
2014-01-26,4345990
2014-01-27,4787534
2014-01-28,4739541
2014-01-29,4676104
2014-01-30,4564974
2014-01-31,4405924
2015-01-01,6096979
2015-01-02,6865454
2015-01-03,6660234
2015-01-04,6849045
2015-01-05,7381227
2015-01-06,7234708
2015-01-07,7267836
2015-01-08,7230038
2015-01-09,6967517
2015-01-10,6554459
2015-01-11,6830344
2015-01-12,7531399
2015-01-13,7362380
2015-01-14,7317456
2015-01-15,7282105
2015-01-16,7026602
2015-01-17,6575423
2015-01-18,6924945
2015-01-19,7623958
2015-01-20,7480247
2015-01-21,7412419
2015-01-22,7363752
2015-01-23,7121326
2015-01-24,6713085
2015-01-25,6983989
2015-01-26,7689829
2015-01-27,7615996
2015-01-28,7652593
2015-01-29,7633873
2015-01-30,7335299
2015-01-31,6864180
2016-01-01,8985421
2016-01-02,9647836
2016-01-03,10050316
2016-01-04,11186219
2016-01-05,11005266
2016-01-06,10915495
2016-01-07,10910297
2016-01-08,10591972
2016-01-09,9975418
2016-01-10,10448868
2016-01-11,11446811
2016-01-12,11075538
2016-01-13,10968389
2016-01-14,10887854
2016-01-15,10524147
2016-01-16,9845554
2016-01-17,10313292
2016-01-18,11314679
2016-01-19,10999697
2016-01-20,10857122
2016-01-21,10692043
2016-01-22,10503954
2016-01-23,9933001
2016-01-24,10339263
2016-01-25,11331157
2016-01-26,11176752
2016-01-27,11104846
2016-01-28,10846257
2016-01-29,10476108
2016-01-30,9802185
2016-01-31,10407032
2010-07-01,56185
2010-07-02,42498
2010-07-03,32797
2010-07-04,33897
2010-07-05,42178
2010-07-06,45310
2010-07-07,42706
2010-07-08,52760
2010-07-09,65436
2010-07-10,39742
2010-07-11,43088
2010-07-12,57395
2010-07-13,61298
2010-07-14,61736
2010-07-15,59208
2010-07-16,49167
2010-07-17,45462
2010-07-18,41922
2010-07-19,52225
2010-07-20,52341
2010-07-21,50565
2010-07-22,48915
2010-07-23,44286
2010-07-24,35651
2010-07-25,37933
2010-07-26,54925
2010-07-27,58964
2010-07-28,57388
2010-07-29,71022
2010-07-30,52035
2010-07-31,40174
2011-07-01,259354
2011-07-02,224723
2011-07-03,222830
2011-07-04,257431
2011-07-05,287485
2011-07-06,294648
2011-07-07,298843
2011-07-08,278134
2011-07-09,243722
2011-07-10,267929
2011-07-11,298988
2011-07-12,286244
2011-07-13,275004
2011-07-14,281007
2011-07-15,280154
2011-07-16,232116
2011-07-17,241787
2011-07-18,293807
2011-07-19,298099
2011-07-20,291770
2011-07-21,284269
2011-07-22,269807
2011-07-23,225746
2011-07-24,241642
2011-07-25,296424
2011-07-26,289173
2011-07-27,299667
2011-07-28,319920
2011-07-29,267336
2011-07-30,219102
2011-07-31,233270
2012-07-01,1230947
2012-07-02,1550950
2012-07-03,1529700
2012-07-04,1298058
2012-07-05,1355991
2012-07-06,1296463
2012-07-07,1115600
2012-07-08,1182681
2012-07-09,1487333
2012-07-10,1561451
2012-07-11,1487163
2012-07-12,1440336
2012-07-13,1375372
2012-07-14,1213376
2012-07-15,1300401
2012-07-16,1554612
2012-07-17,1531627
2012-07-18,1485762
2012-07-19,1498138
2012-07-20,1452975
2012-07-21,1186854
2012-07-22,1230681
2012-07-23,1494525
2012-07-24,1460260
2012-07-25,1436644
2012-07-26,1440826
2012-07-27,1349928
2012-07-28,1190444
2012-07-29,1235790
2012-07-30,1486124
2012-07-31,1461944
2013-07-01,3468127
2013-07-02,3317892
2013-07-03,3136372
2013-07-04,2895028
2013-07-05,2957143
2013-07-06,2527501
2013-07-07,2743875
2013-07-08,3282645
2013-07-09,3204677
2013-07-10,3313864
2013-07-11,3538872
2013-07-12,3554402
2013-07-13,3161514
2013-07-14,3418452
2013-07-15,3939918
2013-07-16,3827544
2013-07-17,3720273
2013-07-18,3534812
2013-07-19,3547370
2013-07-20,3094929
2013-07-21,3080955
2013-07-22,3857268
2013-07-23,3786264
2013-07-24,3704259
2013-07-25,3612560
2013-07-26,3534585
2013-07-27,3153184
2013-07-28,3338789
2013-07-29,3883959
2013-07-30,3860616
2013-07-31,3666502
2014-07-01,5295600
2014-07-02,5293100
2014-07-03,5183214
2014-07-04,4743507
2014-07-05,4475386
2014-07-06,4653616
2014-07-07,5392125
2014-07-08,5358655
2014-07-09,5371341
2014-07-10,5256231
2014-07-11,4959523
2014-07-12,4045640
2014-07-13,4620954
2014-07-14,5425785
2014-07-15,5362996
2014-07-16,5311942
2014-07-17,5148499
2014-07-18,4725640
2014-07-19,4209768
2014-07-20,4422880
2014-07-21,5246856
2014-07-22,5155327
2014-07-23,5001760
2014-07-24,4904433
2014-07-25,4795498
2014-07-26,4230713
2014-07-27,4372680
2014-07-28,5214949
2014-07-29,5186971
2014-07-30,5068547
2014-07-31,4954944
2015-07-01,8919221
2015-07-02,8716022
2015-07-03,8180935
2015-07-04,7402667
2015-07-05,7978947
2015-07-06,9322134
2015-07-07,9204931
2015-07-08,9147662
2015-07-09,8944917
2015-07-10,8421543
2015-07-11,7542956
2015-07-12,8111186
2015-07-13,9359936
2015-07-14,9179491
2015-07-15,9053350
2015-07-16,8762476
2015-07-17,8465347
2015-07-18,7615902
2015-07-19,8152441
2015-07-20,9306654
2015-07-21,9116104
2015-07-22,8931857
2015-07-23,8802979
2015-07-24,8468743
2015-07-25,7766734
2015-07-26,8150913
2015-07-27,9374882
2015-07-28,9196398
2015-07-29,9116348
2015-07-30,8987425
2015-07-31,8572512
2016-07-01,10548900
2016-07-02,9560245
2016-07-03,10015288
2016-07-04,10949481
2010-06-01,51004
2010-06-02,50649
2010-06-03,50611
2010-06-04,42364
2010-06-05,34431
2010-06-06,35888
2010-06-07,44992
2010-06-08,46048
2010-06-09,44709
2010-06-10,46041
2010-06-11,37696
2010-06-12,28926
2010-06-13,31021
2010-06-14,42134
2010-06-15,38605
2010-06-16,44083
2010-06-17,37840
2010-06-18,34169
2010-06-19,28542
2010-06-20,30442
2010-06-21,38311
2010-06-22,41639
2010-06-23,41704
2010-06-24,43755
2010-06-25,34826
2010-06-26,27876
2010-06-27,31513
2010-06-28,39429
2010-06-29,39780
2010-06-30,40151
2011-06-01,219654
2011-06-02,211566
2011-06-03,196184
2011-06-04,170272
2011-06-05,179859
2011-06-06,226131
2011-06-07,221573
2011-06-08,220593
2011-06-09,228680
2011-06-10,215701
2011-06-11,188663
2011-06-12,209120
2011-06-13,232885
2011-06-14,235282
2011-06-15,231828
2011-06-16,256117
2011-06-17,219514
2011-06-18,192584
2011-06-19,195757
2011-06-20,301423
2011-06-21,343059
2011-06-22,332676
2011-06-23,319817
2011-06-24,316778
2011-06-25,250730
2011-06-26,255520
2011-06-27,318425
2011-06-28,312471
2011-06-29,290155
2011-06-30,285213
2012-06-01,1446028
2012-06-02,1226397
2012-06-03,1297114
2012-06-04,1534074
2012-06-05,1560865
2012-06-06,1522705
2012-06-07,1491515
2012-06-08,1424091
2012-06-09,1249120
2012-06-10,1299423
2012-06-11,1549126
2012-06-12,1513882
2012-06-13,1473507
2012-06-14,1462547
2012-06-15,1361804
2012-06-16,1176247
2012-06-17,1238920
2012-06-18,1521351
2012-06-19,1480581
2012-06-20,1447178
2012-06-21,1419491
2012-06-22,1339744
2012-06-23,1156289
2012-06-24,1232491
2012-06-25,1471397
2012-06-26,1437099
2012-06-27,1429507
2012-06-28,1396523
2012-06-29,1330139
2012-06-30,1135545
2013-06-01,1618572
2013-06-02,1687001
2013-06-03,1923962
2013-06-04,1883694
2013-06-05,1868638
2013-06-06,1835599
2013-06-07,1854349
2013-06-08,1725638
2013-06-09,1821113
2013-06-10,2211203
2013-06-11,2237028
2013-06-12,2350762
2013-06-13,2458620
2013-06-14,2548397
2013-06-15,2323159
2013-06-16,2601361
2013-06-17,3095907
2013-06-18,3171389
2013-06-19,3230467
2013-06-20,3493828
2013-06-21,3186900
2013-06-22,2922257
2013-06-23,3018079
2013-06-24,3572831
2013-06-25,3519049
2013-06-26,3390799
2013-06-27,3287759
2013-06-28,3045106
2013-06-29,2776498
2013-06-30,3017721
2014-06-01,5035455
2014-06-02,5865817
2014-06-03,5947078
2014-06-04,6012471
2014-06-05,5794057
2014-06-06,5445302
2014-06-07,4929042
2014-06-08,5067476
2014-06-09,5758083
2014-06-10,5802425
2014-06-11,5591746
2014-06-12,5431026
2014-06-13,5231639
2014-06-14,4626483
2014-06-15,4696210
2014-06-16,5378716
2014-06-17,4924077
2014-06-18,5515003
